State,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Alabama,Birmingham,19/04/2015,5.570833,23.1,19,22,0.031167,0.037,10,34,0.004545,0.1,11,0.0,0.1375,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,20/04/2015,5.52381,19.9,5,18,0.036417,0.052,9,48,0.1,1.0,7,1.0,0.144444,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,21/04/2015,13.05,42.5,20,40,0.024042,0.048,10,44,0.010526,0.3,3,0.0,0.1875,0.4,23.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,22/04/2015,11.583333,31.2,6,29,0.0325,0.05,11,46,0.345455,1.2,5,1.0,0.279167,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,23/04/2015,10.175,32.3,21,30,0.023625,0.037,10,34,0.568182,5.0,8,7.0,0.195833,0.3,22.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,24/04/2015,12.008333,26.7,18,25,0.038667,0.053,9,49,1.640909,7.9,3,10.0,0.229167,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,25/04/2015,7.295833,18.3,20,17,0.0215,0.031,0,29,-0.009091,0.7,0,0.0,0.216667,0.3,20.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,26/04/2015,3.891667,12.2,0,11,0.031417,0.043,10,40,-0.086364,0.2,8,0.0,0.1375,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,27/04/2015,4.6,13.7,18,12,0.034833,0.047,9,44,1.1,9.1,8,13.0,0.15,0.2,15.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,28/04/2015,6.066667,16.0,6,15,0.035,0.046,7,43,0.604545,7.2,6,10.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,29/04/2015,8.741667,33.2,20,31,0.02725,0.048,10,44,0.465,6.4,9,9.0,0.225,0.4,22.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,30/04/2015,8.590476,22.1,6,21,0.040708,0.057,10,58,0.281818,1.1,11,1.0,0.245833,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,01/05/2015,7.6375,32.8,23,30,0.032792,0.055,10,51,0.285714,1.5,9,1.0,0.179167,0.3,23.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,02/05/2015,13.704167,28.0,1,26,0.029625,0.061,10,71,4.531818,26.0,7,37.0,0.295833,0.4,2.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,03/05/2015,13.8125,35.1,23,33,0.030458,0.06,9,67,2.977273,13.3,6,19.0,0.333333,0.5,2.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,04/05/2015,18.63,38.9,22,36,0.029583,0.063,10,77,3.227778,10.2,6,14.0,0.3,0.5,2.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,05/05/2015,16.979167,36.3,22,34,0.025792,0.052,9,48,3.563636,14.9,0,20.0,0.352941,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,06/05/2015,16.341667,34.8,22,32,0.025292,0.051,9,47,3.104545,11.9,0,16.0,0.270833,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,07/05/2015,17.5875,37.4,22,35,0.028292,0.059,9,64,6.185714,36.0,6,51.0,0.316667,0.5,2.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,08/05/2015,20.358333,48.5,21,45,0.034125,0.077,10,122,7.961905,30.1,5,43.0,0.370833,0.5,1.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,09/05/2015,16.470833,37.7,22,35,0.033042,0.071,10,101,6.286364,20.0,4,29.0,0.391667,0.6,2.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,10/05/2015,14.954167,34.6,0,32,0.031875,0.06,8,67,3.436364,14.7,0,20.0,0.358333,0.5,2.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,11/05/2015,11.541667,34.9,1,32,0.024583,0.042,7,39,1.710526,17.3,0,24.0,0.244444,0.5,1.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,12/05/2015,4.554167,13.5,0,12,0.03525,0.047,8,44,0.454545,1.3,8,1.0,0.1875,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,13/05/2015,9.216667,40.1,23,38,0.036833,0.065,10,84,1.75,8.4,23,11.0,0.141667,0.3,23.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,14/05/2015,15.883333,37.5,0,35,0.045375,0.074,9,112,3.822727,15.7,3,21.0,0.270833,0.4,2.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,15/05/2015,7.045833,15.3,19,14,0.028542,0.033,0,31,0.431818,1.3,17,1.0,0.179167,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,16/05/2015,5.354167,9.6,21,8,0.022167,0.029,9,27,0.25,1.5,23,1.0,0.133333,0.2,16.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,17/05/2015,4.729167,14.4,19,13,0.022,0.034,9,31,0.395455,1.4,20,1.0,0.1375,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,18/05/2015,7.41,17.2,21,16,0.022875,0.04,9,37,0.33,1.8,6,1.0,0.138889,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,19/05/2015,9.841667,31.9,21,29,0.021792,0.042,10,39,0.472727,5.7,9,7.0,0.211111,0.3,2.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,20/05/2015,9.1875,25.7,0,24,0.02925,0.046,8,43,1.572727,10.9,6,14.0,0.2875,0.5,3.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,21/05/2015,2.471429,5.9,4,5,0.027208,0.031,15,29,0.063636,0.6,6,0.0,0.104167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,22/05/2015,7.033333,27.5,22,25,0.029958,0.049,11,45,1.772727,6.6,8,9.0,0.120833,0.3,23.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,23/05/2015,10.225,26.0,0,25,0.043667,0.059,11,64,2.227273,7.2,0,10.0,0.2375,0.3,0.0,3.0,32.6010112,-86.6807365
